X Gaze Data,Y Gaze Data,Timestamp
855,523,00:00:08:6746
855,523,00:00:08:6816
855,523,00:00:08:6936
854,523,00:00:08:7075
853,522,00:00:08:7275
853,522,00:00:08:7305
853,522,00:00:08:7474
859,521,00:00:08:7614
862,521,00:00:08:7634
886,527,00:00:08:7753
919,534,00:00:08:7963
963,543,00:00:08:8063
973,545,00:00:08:8142
985,548,00:00:08:8292
1006,553,00:00:08:8372
1006,553,00:00:08:8481
1007,553,00:00:08:8621
1005,553,00:00:08:8731
1006,553,00:00:08:8811
1008,554,00:00:08:9100
1008,554,00:00:08:9150
1008,554,00:00:08:9269
1008,552,00:00:08:9409
1008,551,00:00:08:9479
1007,551,00:00:08:9598
1007,551,00:00:08:9728
1006,550,00:00:08:9818
1006,550,00:00:08:9938
1007,549,00:00:09:0247
1008,549,00:00:09:0267
1007,550,00:00:09:0416
1009,550,00:00:09:0496
1009,551,00:00:09:0626
1008,552,00:00:09:0775
1008,553,00:00:09:0885
1008,553,00:00:09:0965
1009,557,00:00:09:1075
1008,557,00:00:09:1144
1008,561,00:00:09:1294
1008,562,00:00:09:1384
1008,563,00:00:09:1473
1008,563,00:00:09:1753
1009,564,00:00:09:1763
1009,565,00:00:09:1813
1008,565,00:00:09:1922
1008,565,00:00:09:2082
1008,566,00:00:09:2162
1008,566,00:00:09:2281
1008,566,00:00:09:2610
1007,566,00:00:09:2660
1006,566,00:00:09:2890
1005,566,00:00:09:2920
1003,567,00:00:09:3069
1002,568,00:00:09:3159
1002,568,00:00:09:3279
1001,570,00:00:09:3458
1001,570,00:00:09:3638
1001,571,00:00:09:3737
1002,570,00:00:09:3807
1002,571,00:00:09:3957
1003,572,00:00:09:4057
1005,572,00:00:09:4146
1006,572,00:00:09:4286
1007,571,00:00:09:4426
1007,571,00:00:09:4475
1007,570,00:00:09:4605
1006,570,00:00:09:4735
1006,571,00:00:09:4814
1006,571,00:00:09:4934
1006,571,00:00:09:5303
1101,601,00:00:09:5343
1105,603,00:00:09:5383
1108,604,00:00:09:5483
1110,606,00:00:09:5602
1113,610,00:00:09:5752
1115,611,00:00:09:5812
1115,614,00:00:09:5961
1115,615,00:00:09:6121
1115,613,00:00:09:6161
1115,613,00:00:09:6271
1114,614,00:00:09:6370
1114,613,00:00:09:6470
1115,612,00:00:09:6749
1115,613,00:00:09:6809
1115,614,00:00:09:6929
1116,616,00:00:09:7069
1116,616,00:00:09:7148
1116,616,00:00:09:7258
1117,617,00:00:09:7408
1116,617,00:00:09:7477
1116,618,00:00:09:7597
1115,617,00:00:09:7936
1116,617,00:00:09:7946
1114,614,00:00:09:8076
1109,599,00:00:09:8156
1107,592,00:00:09:8275
1105,590,00:00:09:8365
1104,589,00:00:09:8644
1103,588,00:00:09:8744
1103,588,00:00:09:8804
1103,587,00:00:09:8953
1104,588,00:00:09:9043
1103,588,00:00:09:9143
1101,587,00:00:09:9402
1099,585,00:00:09:9472
1099,586,00:00:09:9602
1098,588,00:00:09:9711
1098,589,00:00:09:9831
1097,589,00:00:09:9931
1097,589,00:00:10:0041
1098,590,00:00:10:0140
1099,590,00:00:10:0260
1099,590,00:00:10:0509
1098,591,00:00:10:0589
1098,592,00:00:10:0828
1098,591,00:00:10:0908
1099,590,00:00:10:1008
1098,591,00:00:10:1297
1097,590,00:00:10:1397
1095,590,00:00:10:1616
1096,589,00:00:10:1716
1096,588,00:00:10:1806
1097,588,00:00:10:1945
1097,588,00:00:10:2045
1096,587,00:00:10:2135
1096,587,00:00:10:2454
1097,586,00:00:10:2514
1097,586,00:00:10:2604
1097,586,00:00:10:2753
1096,586,00:00:10:2803
1096,586,00:00:10:2963
1095,586,00:00:10:3072
1095,586,00:00:10:3132
1095,586,00:00:10:3292
1095,587,00:00:10:3611
1096,586,00:00:10:3631
1095,585,00:00:10:3711
1095,585,00:00:10:3910
1094,586,00:00:10:3930
1094,586,00:00:10:4070
1093,585,00:00:10:4140
1093,583,00:00:10:4279
1092,582,00:00:10:4379
1093,583,00:00:10:4469
1092,584,00:00:10:4758
1091,583,00:00:10:4798
1081,577,00:00:10:5117
1066,564,00:00:10:5137
1066,559,00:00:10:5267
1066,558,00:00:10:5456
1066,557,00:00:10:5596
1063,551,00:00:10:5606
1063,552,00:00:10:5915
1061,551,00:00:10:5925
1062,551,00:00:10:6114
1062,551,00:00:10:6294
1063,552,00:00:10:6304
1061,551,00:00:10:6394
1060,551,00:00:10:6623
1060,550,00:00:10:6703
1060,550,00:00:10:6802
1060,550,00:00:10:6932
1061,550,00:00:10:7042
1062,551,00:00:10:7132
1062,552,00:00:10:7251
1063,554,00:00:10:7391
1063,555,00:00:10:7461
1062,555,00:00:10:7590
1062,555,00:00:10:7740
1062,555,00:00:10:7800
1061,556,00:00:10:7929
1061,557,00:00:10:8079
1059,558,00:00:10:8259
1059,558,00:00:10:8288
1059,555,00:00:10:8408
1058,555,00:00:10:8478
1057,554,00:00:10:8608
1057,554,00:00:10:8777
1058,554,00:00:10:8947
1059,555,00:00:10:9106
1060,556,00:00:10:9136
1065,557,00:00:10:9435
1100,574,00:00:10:9465
1106,577,00:00:10:9595
1110,578,00:00:10:9755
1113,577,00:00:10:9790
1113,578,00:00:10:9939
1114,579,00:00:11:0089
1113,581,00:00:11:0129
1115,583,00:00:11:0254
1114,582,00:00:11:0434
1112,579,00:00:11:0516
1112,578,00:00:11:0606
1112,577,00:00:11:0775
1113,578,00:00:11:0815
1112,578,00:00:11:0925
1112,578,00:00:11:1125
1111,577,00:00:11:1145
1110,577,00:00:11:1305
1110,576,00:00:11:1360
1113,575,00:00:11:1655
1112,574,00:00:11:1735
1113,574,00:00:11:1795
1113,574,00:00:11:1931
1113,573,00:00:11:2090
1112,573,00:00:11:2150
1112,574,00:00:11:2439
1110,572,00:00:11:2459
1109,571,00:00:11:2619
1109,571,00:00:11:2748
1109,572,00:00:11:2798
1109,572,00:00:11:2928
1109,571,00:00:11:3048
1107,570,00:00:11:3137
1107,570,00:00:11:3287
1108,569,00:00:11:3500
1114,564,00:00:11:3590
1119,558,00:00:11:3769
1120,557,00:00:11:3828
1125,555,00:00:11:3938
1128,553,00:00:11:4109
1129,552,00:00:11:4129
1130,551,00:00:11:4268
1130,551,00:00:11:4418
