Event,X Fixation Data,Y Fixation Data,Timestamp,Valid Left Pupil,Valid Right Pupil,Left Pupil Size,Left Pupil Scale,Right Pupil Size,Right Pupil Scale,Valid Left Gaze,Valid Right Gaze,Left X Gaze,Left Y Gaze,Right X Gaze,Right Y Gaze,Valid Fixation
Data,461.5104,591.0192,00:01:12:0955,1,1,32.46423,0.99153,32.30959,0.99153,1,1,0.18801,0.68343,0.25804,0.42930,1
Data,459.4944,589.8204,00:01:12:0962,1,1,32.50741,0.99153,32.25354,0.99153,1,1,0.19797,0.68400,0.25957,0.38590,1
Data,457.8048,588.8051999999999,00:01:12:0969,1,1,32.54308,0.99153,32.32661,0.99153,1,1,0.19797,0.68400,0.25957,0.38590,1
Data,455.2704,588.3408000000001,00:01:12:0976,1,1,32.51953,0.99153,32.35276,0.99153,1,1,0.18652,0.70026,0.25611,0.37888,1
Data,456.6336,589.9391999999999,00:01:12:0983,1,1,32.55881,0.99153,32.23853,0.99153,1,1,0.21433,0.68876,0.27978,0.44219,1
Data,457.9968,591.5268,00:01:12:0990,1,1,32.52172,0.99153,32.24092,0.98111,1,1,0.21433,0.68876,0.28252,0.44780,1
Data,456.96,596.1600000000001,00:01:12:0997,1,1,33.61953,0.97069,32.37581,0.96028,1,1,0.21313,0.73569,0.30042,0.43534,1
Data,456.96,596.1600000000001,00:01:13:0004,1,1,33.61953,0.97069,32.37581,0.96028,1,1,0.21313,0.73569,0.30042,0.43534,1
Data,459.2064,598.5791999999999,00:01:13:0011,1,1,33.68391,0.96028,32.39212,0.94986,1,1,0.21509,0.74355,0.30303,0.44115,1
Data,500.40959999999995,596.6784,00:01:13:0018,1,1,34.18032,0.94986,32.23035,0.94986,1,1,0.47356,0.62061,0.52480,0.39467,1
Data,522.2208,593.7624000000001,00:01:13:0024,1,1,33.84618,0.96861,32.16338,0.96861,1,1,0.47396,0.60700,0.52434,0.38450,1
End,522.2208,593.7624000000001,00:01:13:0031,1,1,33.84618,0.96861,32.16338,0.96861,1,1,0.47396,0.60700,0.52434,0.38450,1
Begin,1011.5712,499.9428,00:01:13:0073,1,1,33.30053,0.98448,32.10784,0.98448,1,1,0.50577,0.53141,0.54695,0.37003,1
Data,1010.3231999999999,498.6792,00:01:13:0080,1,1,33.36215,0.98448,32.06928,0.98448,1,1,0.50010,0.53771,0.54708,0.37639,1
Data,1010.3231999999999,498.6792,00:01:13:0087,1,1,33.36215,0.98448,32.06928,0.98448,1,1,0.50010,0.53771,0.54708,0.37639,1
Data,1013.856,498.07439999999997,00:01:13:0094,1,1,33.37486,0.97555,32.11691,0.96662,1,1,0.50606,0.54162,0.57743,0.37871,1
Data,1017.2352,499.1112,00:01:13:0101,1,1,33.39539,0.96662,32.08519,0.95769,1,1,0.50491,0.55935,0.57935,0.37827,1
